,brand,model,transmission,make_year,fuel_type,engine_capacity(CC),km_driven,ownership,price,overall_cost,has_insurance,spare_key,reg_number,title
0,Mahindra,Thar LX D 4WD MT CONVERTIBLE,Manual,2020.0,Diesel,2184.0,11003.0,1st owner,1231000,23431.0,True,No,HR26,2020 Mahindra Thar LX D 4WD MT CONVERTIBLE
1,Hyundai,Verna 1.6 VTVT SX,Manual,2018.0,Petrol,1591.0,66936.0,1st owner,786000,15359.0,True,No,DL7C,2018 Hyundai Verna 1.6 VTVT SX
2,Tata,Harrier XT PLUS 2.0L KRYOTEC DARK EDITON,Manual,2022.0,Diesel,1956.0,27990.0,1st owner,1489000,28349.0,True,No,HR29,2022 Tata Harrier XT PLUS 2.0L KRYOTEC DARK EDITON
3,Honda,City 1.5L I-VTE V CVT,Automatic,2023.0,Petrol,1498.0,5061.0,1st owner,1227000,23355.0,True,Yes,DL4C,2023 Honda City 1.5L I-VTE V CVT
4,Ford,Ecosport TITANIUM 1.5L DIESEL,Manual,2021.0,Diesel,1498.0,23480.0,1st owner,887000,16883.0,True,No,UP14,2021 Ford Ecosport TITANIUM 1.5L DIESEL
5,Honda,WR-V 1.2L I-VTEC VX MT,Manual,2021.0,Petrol,1199.0,44787.0,1st owner,796000,15561.0,True,No,UP32,2021 Honda WR-V 1.2L I-VTEC VX MT
6,Tata,PUNCH CREATIVE  1.2 RTN DUAL TONE,Manual,2022.0,Petrol,1199.0,450.0,1st owner,813000,15475.0,True,Yes,DL3C,2022 Tata PUNCH CREATIVE  1.2 RTN DUAL TONE
8,Mahindra,XUV700 AX 7 LUXURY D AWD AT 7 STR,Automatic,2022.0,Diesel,2184.0,62567.0,1st owner,2322000,44197.0,True,No,DL10,2022 Mahindra XUV700 AX 7 LUXURY D AWD AT 7 STR
9,Ford,Ecosport TITANIUM + 1.5L PETROL AT,Automatic,2019.0,Petrol,1497.0,58503.0,1st owner,766000,14977.0,True,No,DL10,2019 Ford Ecosport TITANIUM + 1.5L PETROL AT
10,Maruti,Dzire LXI,Manual,2018.0,Petrol,1197.0,58159.0,1st owner,471000,9217.0,True,No,HR26,2018 Maruti Dzire LXI
11,Hyundai,GRAND I10 NIOS SPORTZ 1.2 KAPPA VTVT,Manual,2023.0,Petrol,1197.0,15568.0,1st owner,689000,13470.0,True,No,DL9C,2023 Hyundai GRAND I10 NIOS SPORTZ 1.2 KAPPA VTVT
12,Tata,Tiago XE PETROL,Manual,2023.0,Petrol,1199.0,6676.0,1st owner,536000,10480.0,True,No,HR51,2023 Tata Tiago XE PETROL
14,Maruti,Alto K10 VXI,Manual,2018.0,Petrol,998.0,52966.0,1st owner,310000,6068.0,True,Yes,HR51,2018 Maruti Alto K10 VXI
15,Hyundai,Verna 1.6 CRDI SX,Manual,2020.0,Diesel,1582.0,60592.0,1st owner,993000,18901.0,True,Yes,HR29,2020 Hyundai Verna 1.6 CRDI SX
16,Maruti,Alto K10 VXI AMT,Automatic,2014.0,Petrol,998.0,71297.0,1st owner,265000,5901.0,True,No,DL3C,2014 Maruti Alto K10 VXI AMT
17,Honda,Amaze 1.2L I-VTEC S,Manual,2022.0,Petrol,1199.0,15935.0,1st owner,699000,13666.0,True,No,DL11,2022 Honda Amaze 1.2L I-VTEC S
18,KIA,SELTOS HTE 1.5 DIESEL,Manual,2021.0,Diesel,1493.0,71040.0,1st owner,980000,18653.0,True,No,HR98,2021 KIA SELTOS HTE 1.5 DIESEL
19,Hyundai,GRAND I10 NIOS ASTA 1.2 KAPPA VTVT,Manual,2023.0,Petrol,1197.0,2850.0,1st owner,710000,13881.0,True,No,DL10,2023 Hyundai GRAND I10 NIOS ASTA 1.2 KAPPA VTVT
20,MG,HECTOR SHARP 1.5 PETROL CVT,Automatic,2022.0,Petrol,1451.0,26999.0,1st owner,1652000,31444.0,True,No,DL12,2022 MG HECTOR SHARP 1.5 PETROL CVT
21,Tata,TIGOR XM PETROL,Manual,2023.0,Petrol,1199.0,12096.0,1st owner,590000,11529.0,True,No,HR76,2023 Tata TIGOR XM PETROL
22,Honda,City 1.5L I-VTEC ZX CVT,Automatic,2017.0,Petrol,1497.0,65434.0,2nd owner,787000,15392.0,True,No,DL3C,2017 Honda City 1.5L I-VTEC ZX CVT
23,Hyundai,Verna SX 1.5 CRDI,Manual,2020.0,Diesel,1493.0,48995.0,1st owner,1060000,20176.0,True,Yes,HR26,2020 Hyundai Verna SX 1.5 CRDI
24,Ford,FREESTYLE TITANIUM PLUS 1.2 PETROL,Manual,2018.0,Petrol,1194.0,66584.0,1st owner,495000,9675.0,True,No,HR26,2018 Ford FREESTYLE TITANIUM PLUS 1.2 PETROL
25,Maruti,Ciaz S 1.5 MT PETROL,Manual,2020.0,Petrol,1462.0,24961.0,1st owner,878000,16712.0,True,No,HR26,2020 Maruti Ciaz S 1.5 MT PETROL
26,Maruti,Dzire LXI,Manual,2019.0,Petrol,1197.0,33972.0,1st owner,514000,10041.0,True,No,DL9C,2019 Maruti Dzire LXI
27,Tata,Tiago XZ PLUS CNG,Manual,2022.0,CNG,1199.0,22874.0,1st owner,684000,13367.0,True,No,HR98,2022 Tata Tiago XZ PLUS CNG
28,Maruti,Dzire ZXI PLUS,Manual,2019.0,Petrol,1197.0,109938.0,1st owner,584000,12996.0,True,Yes,DL3C,2019 Maruti Dzire ZXI PLUS
29,Maruti,Alto LXI O,Manual,2019.0,Petrol,796.0,60452.0,1st owner,316000,6174.0,True,No,DL8C,2019 Maruti Alto LXI O
30,Maruti,Celerio VXI AMT,Automatic,2016.0,Petrol,998.0,32747.0,1st owner,394000,7708.0,True,Yes,DL8C,2016 Maruti Celerio VXI AMT
31,KIA,CARENS LUXURY PLUS 1.5 DIESEL AT 7 STR,Automatic,2022.0,Diesel,1493.0,34694.0,1st owner,1654000,31482.0,True,No,HR36,2022 KIA CARENS LUXURY PLUS 1.5 DIESEL AT 7 STR
32,Maruti,IGNIS DELTA 1.2,Manual,2019.0,Petrol,1197.0,51244.0,1st owner,472000,9224.0,True,Yes,DL4C,2019 Maruti IGNIS DELTA 1.2
33,Renault,TRIBER RXL MT,Manual,2023.0,Petrol,999.0,6843.0,1st owner,636000,12428.0,True,No,HR98,2023 Renault TRIBER RXL MT
34,Ford,Ecosport TITANIUM 1.5L PETROL AT,Automatic,2019.0,Petrol,1496.0,20751.0,1st owner,806000,15342.0,True,No,DL1C,2019 Ford Ecosport TITANIUM 1.5L PETROL AT
35,Tata,PUNCH ADVENTURE RHYTHM PACK AMT,Automatic,2023.0,Petrol,1199.0,16393.0,1st owner,668000,13056.0,True,Yes,DL9C,2023 Tata PUNCH ADVENTURE RHYTHM PACK AMT
36,Honda,City 1.5L I-VTEC ZX CVT,Automatic,2017.0,Petrol,1497.0,74671.0,1st owner,832000,15836.0,True,No,HR26,2017 Honda City 1.5L I-VTEC ZX CVT
37,Hyundai,Verna 1.6 VTVT SX O,Manual,2017.0,Petrol,1591.0,94020.0,1st owner,819000,15592.0,True,No,DL7C,2017 Hyundai Verna 1.6 VTVT SX O
38,Mahindra,XUV500 W7 AT,Automatic,2021.0,Diesel,2179.0,25366.0,1st owner,1400000,26644.0,True,No,HR29,2021 Mahindra XUV500 W7 AT
39,Maruti,S PRESSO VXI CNG,Manual,2020.0,CNG,998.0,75502.0,1st owner,432000,8447.0,True,No,DL11,2020 Maruti S PRESSO VXI CNG
40,Tata,NEXON XZ PLUS PETROL,Manual,2022.0,Petrol,1199.0,22894.0,1st owner,941000,17911.0,True,Yes,DL9C,2022 Tata NEXON XZ PLUS PETROL
41,Tata,Tiago XZ PETROL,Manual,2020.0,Petrol,1199.0,42313.0,2nd owner,456000,8911.0,True,No,HR26,2020 Tata Tiago XZ PETROL
42,Tata,ALTROZ XT PETROL,Manual,2020.0,Petrol,1199.0,58047.0,1st owner,590000,11543.0,True,No,DL2C,2020 Tata ALTROZ XT PETROL
43,Maruti,Ciaz ALPHA 1.5 SHVS PETROL,Manual,2018.0,Petrol,1462.0,76120.0,1st owner,721000,14096.0,True,Yes,DL3C,2018 Maruti Ciaz ALPHA 1.5 SHVS PETROL
44,Hyundai,Xcent SX 1.2,Manual,2017.0,Petrol,1197.0,60964.0,1st owner,449000,8781.0,True,No,UP14,2017 Hyundai Xcent SX 1.2
45,Tata,Tiago XT (O) PETROL,Manual,2023.0,Petrol,1199.0,17297.0,1st owner,574000,11231.0,True,No,DL3C,2023 Tata Tiago XT (O) PETROL
46,Renault,TRIBER RXZ,Manual,2020.0,Petrol,999.0,34646.0,1st owner,594000,11618.0,True,No,HR51,2020 Renault TRIBER RXZ
47,Maruti,Ciaz DELTA AT 1.5 SHVS PETROL,Automatic,2018.0,Petrol,1462.0,45254.0,2nd owner,687000,13431.0,True,No,HR51,2018 Maruti Ciaz DELTA AT 1.5 SHVS PETROL
48,Maruti,Ciaz ZETA AT 1.5  SHVS PETROL,Automatic,2022.0,Petrol,1462.0,24062.0,1st owner,1041000,19810.0,True,No,DL8C,2022 Maruti Ciaz ZETA AT 1.5  SHVS PETROL
49,Hyundai,Grand i10 ASTA (O) 1.2 KAPPA VTVT,Manual,2016.0,Petrol,1197.0,28221.0,1st owner,456000,8921.0,True,No,DL8C,2016 Hyundai Grand i10 ASTA (O) 1.2 KAPPA VTVT
50,Maruti,XL6 ALPHA PLUS MT,Manual,2022.0,Petrol,1462.0,43830.0,1st owner,1196000,22765.0,True,No,HR98,2022 Maruti XL6 ALPHA PLUS MT
51,Maruti,Wagon R 1.0 VXI AMT,Automatic,2016.0,Petrol,998.0,21218.0,1st owner,375000,7322.0,True,No,DL12,2016 Maruti Wagon R 1.0 VXI AMT
52,Hyundai,NEW SANTRO SPORTZ CNG,Manual,2020.0,CNG,1086.0,62996.0,1st owner,504000,9845.0,True,Yes,DL1C,2020 Hyundai NEW SANTRO SPORTZ CNG
53,Maruti,XL6 ALPHA PLUS AT,Automatic,2022.0,Petrol,1462.0,40395.0,2nd owner,1152000,21927.0,True,No,HR26,2022 Maruti XL6 ALPHA PLUS AT
54,Maruti,Baleno ZETA CVT PETROL 1.2,Automatic,2017.0,Petrol,1197.0,42752.0,1st owner,567000,11085.0,True,No,DL10,2017 Maruti Baleno ZETA CVT PETROL 1.2
55,Maruti,Ciaz ALPHA 1.5 SHVS PETROL,Manual,2019.0,Petrol,1462.0,59733.0,1st owner,751000,14682.0,True,No,HR12,2019 Maruti Ciaz ALPHA 1.5 SHVS PETROL
56,Maruti,Ciaz ALPHA 1.4 PETROL,Manual,2017.0,Petrol,1373.0,92389.0,1st owner,607000,11862.0,True,No,DL9C,2017 Maruti Ciaz ALPHA 1.4 PETROL
57,Hyundai,VENUE SX 1.0 (O) TURBO,Manual,2020.0,Petrol,998.0,36125.0,1st owner,864000,16445.0,True,No,HR26,2020 Hyundai VENUE SX 1.0 (O) TURBO
58,Maruti,Ciaz ALPHA 1.5 SHVS PETROL,Manual,2020.0,Petrol,1462.0,26202.0,1st owner,825000,15703.0,True,No,DL2C,2020 Maruti Ciaz ALPHA 1.5 SHVS PETROL
59,Volkswagen,VIRTUS COMFORTLINE TSI 1.0 MT,Manual,2022.0,Petrol,999.0,27653.0,1st owner,918000,17473.0,True,No,HR26,2022 Volkswagen VIRTUS COMFORTLINE TSI 1.0 MT
60,Honda,City 1.5L I-VTEC SV CVT,Automatic,2016.0,Petrol,1497.0,61033.0,2nd owner,572000,11173.0,True,No,HR26,2016 Honda City 1.5L I-VTEC SV CVT
